8/1/14,4572
8/2/14,3606
8/3/14,2851
8/4/14,4566
8/5/14,4613
8/6/14,4609
8/7/14,4624
8/8/14,4645
8/9/14,3575
8/10/14,2833
8/11/14,4555
8/12/14,4599
8/13/14,4604
8/14/14,4623
8/15/14,4611
8/16/14,3568
8/17/14,2861
8/18/14,4595
8/19/14,4626
8/20/14,4625
8/21/14,4616
8/22/14,4632
8/23/14,3623
8/24/14,2852
8/25/14,4573
8/26/14,4662
8/27/14,4654
8/28/14,4665
8/29/14,4692
8/30/14,3498
8/31/14,2835
9/1/14,2738
9/2/14,4708
9/3/14,4721
9/4/14,4817
9/5/14,4813
9/6/14,3654
9/7/14,2866
9/8/14,4798
9/9/14,4864
9/10/14,4859
9/11/14,4857
9/12/14,4876
9/13/14,3800
9/14/14,2958
9/15/14,4847
9/16/14,4878
9/17/14,4861
9/18/14,4898
9/19/14,4906
9/20/14,3792
9/21/14,2922
9/22/14,4836
9/23/14,4897
9/24/14,4907
9/25/14,4889
9/26/14,4866
9/27/14,3732
9/28/14,2884
9/29/14,4894
9/30/14,4911
10/1/14,4929
10/2/14,4929
10/3/14,4929
10/4/14,3785
10/5/14,2945
10/6/14,4916
10/7/14,4955
10/8/14,4969
10/9/14,4948
10/10/14,4953
10/11/14,3759
10/12/14,2922
10/13/14,4617
10/14/14,4925
10/15/14,4934
10/16/14,4935
10/17/14,4944
10/18/14,3784
10/19/14,2937
10/20/14,4902
10/21/14,4940
10/22/14,4914
10/23/14,4922
10/24/14,4937
10/25/14,3804
10/26/14,2953
10/27/14,4872
10/28/14,4913
10/29/14,4930
10/30/14,4916
10/31/14,4928
